source_system,source_ref,url,entity_type,entity_id,entity_label,tread_pattern,display_priority,status
production.catalog_images,catalog_images:b1e4f7ee-bc1f-44c4-b8d7-62ff121332ef,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx84-block-03.webp,track_size,ts_300x525wx84,300x52.5Wx84,Block,2,mapped
production.catalog_images,catalog_images:14c4aa1d-a020-4645-9094-38a19a30c00e,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx84-block-04.webp,track_size,ts_300x525wx84,300x52.5Wx84,Block,2,mapped
production.catalog_images,catalog_images:a213b4ba-fd80-4bbe-9785-3b5fc1b00e6b,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx86-block-01.webp,track_size,ts_300x525wx86,300x52.5Wx86,Block,1,mapped
production.catalog_images,catalog_images:93d5c06f-4bb1-4685-a160-6da6a25e1bf3,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx86-block-02.webp,track_size,ts_300x525wx86,300x52.5Wx86,Block,2,mapped
production.catalog_images,catalog_images:26d7f9e3-d391-4520-8099-7481d8aa3b58,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx86-block-03.webp,track_size,ts_300x525wx86,300x52.5Wx86,Block,2,mapped
production.catalog_images,catalog_images:cace9333-2ef8-4bc6-933a-eb45e8eadddb,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx86-block-04.webp,track_size,ts_300x525wx86,300x52.5Wx86,Block,2,mapped
production.catalog_images,catalog_images:0d9af43a-0ed0-4b78-8760-2739df12d033,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx88-block-01.webp,track_size,ts_300x525wx88,300x52.5Wx88,Block,1,mapped
production.catalog_images,catalog_images:095e3dc9-e44c-4229-9b08-11611eab3358,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx88-block-02.webp,track_size,ts_300x525wx88,300x52.5Wx88,Block,2,mapped
production.catalog_images,catalog_images:3e40b8dd-be23-4569-9a5b-2721a6090578,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx88-block-03.webp,track_size,ts_300x525wx88,300x52.5Wx88,Block,2,mapped
production.catalog_images,catalog_images:7fafbcbf-7d52-49ea-aac7-ca8760dafb91,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx88-block-04.webp,track_size,ts_300x525wx88,300x52.5Wx88,Block,2,mapped
production.catalog_images,catalog_images:c31a77d3-d4ad-48b5-9d3b-b12d1276ba87,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx90-block-01.webp,track_size,ts_300x525wx90,300x52.5Wx90,Block,1,mapped
production.catalog_images,catalog_images:7ca0e545-cfc4-462a-8b67-6dac5fe84274,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx90-block-02.webp,track_size,ts_300x525wx90,300x52.5Wx90,Block,2,mapped
production.catalog_images,catalog_images:abc31df4-812f-4224-b198-259dc5278d18,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx90-block-03.webp,track_size,ts_300x525wx90,300x52.5Wx90,Block,2,mapped
production.catalog_images,catalog_images:242df329-c5a2-40d4-8f1d-4a2bb81b89da,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx90-block-04.webp,track_size,ts_300x525wx90,300x52.5Wx90,Block,2,mapped
production.catalog_images,catalog_images:d58dd491-b6ec-4b06-9540-7ea1dba69f3a,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx92-directional-02.webp,track_size,ts_300x525nx92,300x52.5Nx92,Directional,2,mapped
production.catalog_images,catalog_images:8db17db4-978b-4c03-9d53-4de884b6d4dc,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx92-directional-03.webp,track_size,ts_300x525nx92,300x52.5Nx92,Directional,2,mapped
production.catalog_images,catalog_images:8b11b80c-bf0a-4e82-a180-8bf99be08b36,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5x86-mx-01.webp,track_size,ts_300x525x86,300x52.5x86,MX,1,mapped
production.catalog_images,catalog_images:f2109158-184c-4ac8-9ffc-d99267c4b7e5,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5x86-mx-02.webp,track_size,ts_300x525x86,300x52.5x86,MX,2,mapped
production.catalog_images,catalog_images:0e670010-3c8f-4ecd-b689-4365ad73cec2,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5x86-mx-03.webp,track_size,ts_300x525x86,300x52.5x86,MX,2,mapped
production.catalog_images,catalog_images:c8b095b1-c10b-493b-b3cc-ceef5f846b37,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5x86-mx-04.webp,track_size,ts_300x525x86,300x52.5x86,MX,2,mapped
production.catalog_images,catalog_images:3530bf80-73e7-449a-9ecd-e14e29d214f7,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x53x80-mx-01.webp,track_size,ts_300x53x80,300x53x80,MX,1,mapped
production.catalog_images,catalog_images:23615b89-5142-45c2-9881-3de8de1b28a9,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x53x80-mx-02.webp,track_size,ts_300x53x80,300x53x80,MX,2,mapped
production.catalog_images,catalog_images:e225639d-5bea-4483-8387-0c54eac3a3b6,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x53x80-mx-03.webp,track_size,ts_300x53x80,300x53x80,MX,2,mapped
production.catalog_images,catalog_images:806e55ca-ae9b-45e6-aa32-683854442544,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x53x80-mx-04.webp,track_size,ts_300x53x80,300x53x80,MX,2,mapped
production.catalog_images,catalog_images:39c5aaf3-dd75-4b36-b262-26387a5cfdb0,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/400x86x54-multi-bar-02.webp,track_size,ts_400x86bx54,400x86Bx54,Multi-Bar,2,mapped
production.catalog_images,catalog_images:90a01f91-3a04-48fb-8c1b-c25e335d2584,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/450x86Bx58-x-terrain-03.webp,track_size,ts_450x86bx58,450x86Bx58,X-Terrain,2,mapped
production.catalog_images,catalog_images:64b71079-47bc-4d27-a7e6-7e0c31621ec3,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/450x86Bx58-x-terrain-04.webp,track_size,ts_450x86bx58,450x86Bx58,X-Terrain,2,mapped
production.catalog_images,catalog_images:3929822d-a728-49bc-af78-e19aa1618dfc,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/450x86Bx58-z-max-01.webp,track_size,ts_450x86bx58,450x86Bx58,Z-Max,1,mapped
production.catalog_images,catalog_images:f9f809de-aa92-4548-8094-a56d8385dafe,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/450x86Bx58-z-max-02.webp,track_size,ts_450x86bx58,450x86Bx58,Z-Max,2,mapped
production.catalog_images,catalog_images:37967131-f558-4a84-a255-1814b045e181,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/450x86Bx58-z-max-03.webp,track_size,ts_450x86bx58,450x86Bx58,Z-Max,2,mapped
production.catalog_images,catalog_images:ff854a0f-271a-4908-9aa3-28f0be6307ab,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/450x86Bx58-z-max-04.webp,track_size,ts_450x86bx58,450x86Bx58,Z-Max,2,mapped
production.catalog_images,catalog_images:de4827ff-0df8-40b7-a59b-d7cfdc24da44,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x46-c-block-01.webp,track_size,ts_320x86x46,320x86x46,C-Block,1,mapped
production.catalog_images,catalog_images:6b8cf95e-f375-43d0-9b05-a8020bbbb0e6,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x46-c-block-02.webp,track_size,ts_320x86x46,320x86x46,C-Block,2,mapped
production.catalog_images,catalog_images:267ef780-4b69-4452-8306-f2aeea5fa6d3,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x46-c-block-04.webp,track_size,ts_320x86x46,320x86x46,C-Block,2,mapped
production.catalog_images,catalog_images:6ad0b9e4-4922-4785-8857-9ddfa75c473c,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x48-multi-bar-01.webp,track_size,ts_320x86x48,320x86x48,Multi-Bar,1,mapped
production.catalog_images,catalog_images:f030d9bb-26af-40cc-9c69-16e8d0fccb7a,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x48-multi-bar-02.webp,track_size,ts_320x86x48,320x86x48,Multi-Bar,2,mapped
production.catalog_images,catalog_images:b17b63e5-8b3f-4d8f-9364-32197d71cd7e,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x48-multi-bar-03.webp,track_size,ts_320x86x48,320x86x48,Multi-Bar,2,mapped
production.catalog_images,catalog_images:262f0765-4a8e-4496-9f09-a38ddabf3ffc,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x48-multi-bar-04.webp,track_size,ts_320x86x48,320x86x48,Multi-Bar,2,mapped
