candidate_id,machine_id,shopify_handle,field_name,source_type,source_priority,source_url,confidence,evidence_text
enr_0ccd366ac8de4fb4b87c0d9f,mdl_jcb_jz_70,jcb-jz-70,canonical_model_group,track_finder,4,/pages/equipment-model/jcb-jz70,0.88,Track Finder model family label
enr_ad2ea2e0a5499736be64d3df,mdl_komatsu_pc18mr_2,komatsu-pc18mr-2,canonical_model_group,track_finder,4,/pages/equipment-model/komatsu-pc18mr-2,0.88,Track Finder model family label
enr_78c20083a63e51b783e723ba,mdl_komatsu_pc18mr_3,komatsu-pc18mr-3,canonical_model_group,track_finder,4,/pages/equipment-model/komatsu-pc18mr-3,0.88,Track Finder model family label
enr_9a86be7b0d678e7c21d3a225,mdl_komatsu_pc30mr3,komatsu-pc30mr-3,canonical_model_group,track_finder,4,/pages/equipment-model/komatsu-pc30mr-3,0.88,Track Finder model family label
enr_86c7640a3ca9e22c487ebd80,mdl_komatsu_pc_30_mr_5,komatsu-pc30mr-5,canonical_model_group,track_finder,4,/pages/equipment-model/komatsu-pc30mr-5,0.88,Track Finder model family label
enr_90f8bde0d2d1a70cbc35c856,mdl_komatsu_pc35mr3,komatsu-pc35mr-3,canonical_model_group,track_finder,4,/pages/equipment-model/komatsu-pc35mr-3,0.88,Track Finder model family label
enr_a1a6908c75cc807e1014737a,mdl_komatsu_pc_35_mr_5,komatsu-pc35mr-5,canonical_model_group,track_finder,4,/pages/equipment-model/komatsu-pc35mr-5,0.88,Track Finder model family label
enr_b388374132faa8cdad91a69d,mdl_kubota_kx018_4,kubota-kx018-4,canonical_model_group,track_finder,4,/pages/equipment-model/kubota-kx018-4,0.88,Track Finder model family label
enr_3be305797c0d7c338ffaf44b,mdl_kubota_kx033_4,kubota-kx033-4,canonical_model_group,track_finder,4,/pages/equipment-model/kubota-kx033-4,0.88,Track Finder model family label
enr_1ccc394afa271f5bac17e4de,mdl_kubota_kx040_4,kubota-kx040-4,canonical_model_group,track_finder,4,/pages/equipment-model/kubota-kx040-4,0.88,Track Finder model family label
enr_24d03463e3656390c7b26b9a,mdl_kubota_kx_040_5,kubota-kx040-5,canonical_model_group,track_finder,4,/pages/equipment-model/kubota-kx040-5,0.88,Track Finder model family label
enr_bb753aa9e3023a16c0e1e9ac,mdl_kubota_kx057_4,kubota-kx057-4,canonical_model_group,track_finder,4,/pages/equipment-model/kubota-kx057-4,0.88,Track Finder model family label
enr_b0c350af6b2f80d0599bbeb9,mdl_kubota_kx057_5,kubota-kx057-5,canonical_model_group,track_finder,4,/pages/equipment-model/kubota-kx057-5,0.88,Track Finder model family label
enr_688f3850faf23772f5afbde3,mdl_kubota_kx121_2,kubota-kx121-2,canonical_model_group,track_finder,4,/pages/equipment-model/kubota-kx121-2,0.88,Track Finder model family label
enr_855f6d01310bf3b152caf17a,mdl_kubota_kx121_2s,kubota-kx-121-2s,canonical_model_group,track_finder,4,/pages/equipment-model/kubota-kx-121-2s,0.88,Track Finder model family label
enr_c1f7e395cd04b7ff0027e3f9,mdl_kubota_kx121_3,kubota-kx121-3,canonical_model_group,track_finder,4,/pages/equipment-model/kubota-kx121-3,0.88,Track Finder model family label
enr_fc24baf51fab965d04744866,mdl_kubota_u_15_3,kubota-u-15-3,canonical_model_group,track_finder,4,/pages/equipment-model/kubota-u-15-3,0.88,Track Finder model family label
