Handle,Command,Top Row,Variant SKU,Metafield: custom.fits_equipment_models [list.metaobject_reference]
tnt3208649hdmb,MERGE,TRUE,TNT3208649HDMB,"model.bobcat-t180, model.bobcat-t190, model.bobcat-t550, model.bobcat-t590, model.bobcat-t595, model.cat-239d, model.cat-239d3, model.cat-249d, model.cat-249d3, model.gehl-rt165, model.mustang-1650rt"
tnt3208649hdz,MERGE,TRUE,TNT3208649HDZ,"model.bobcat-t180, model.bobcat-t190, model.bobcat-t550, model.bobcat-t590, model.bobcat-t595, model.cat-239d, model.cat-239d3, model.cat-249d, model.cat-249d3, model.gehl-rt165, model.mustang-1650rt"
tnt3208649hdzb,MERGE,TRUE,TNT3208649HDZB,"model.bobcat-t180, model.bobcat-t190, model.bobcat-t550, model.bobcat-t590, model.bobcat-t595, model.cat-239d, model.cat-239d3, model.cat-249d, model.cat-249d3, model.gehl-rt165, model.mustang-1650rt"
tnt3208649sdc,MERGE,TRUE,TNT3208649SDC,"model.bobcat-t180, model.bobcat-t190, model.bobcat-t550, model.bobcat-t590, model.bobcat-t595, model.cat-239d, model.cat-239d3, model.cat-249d, model.cat-249d3, model.gehl-rt165, model.mustang-1650rt"
tnt3208650hdbd,MERGE,TRUE,TNT3208650HDBD,"model.bobcat-t62, model.bobcat-t64, model.bobcat-t66, model.case-420ct, model.case-440ct, model.case-tr270, model.case-tr270b, model.case-tr310, model.case-tr310b, model.jcb-180t, model.jcb-190t-eco, model.jcb-205t, model.jcb-210t, model.jcb-215t, model.jcb-2ts-7t, model.john-deere-317g, model.new-holland-c175, model.new-holland-c227, model.new-holland-c327, model.new-holland-lt175b, model.takeuchi-tl6r, model.volvo-mct85c"
tnt3208650hdbl,MERGE,TRUE,TNT3208650HDBL,"model.bobcat-t62, model.bobcat-t64, model.bobcat-t66, model.case-420ct, model.case-440ct, model.case-tr270, model.case-tr270b, model.case-tr310, model.case-tr310b, model.jcb-180t, model.jcb-190t-eco, model.jcb-205t, model.jcb-210t, model.jcb-215t, model.jcb-2ts-7t, model.john-deere-317g, model.new-holland-c175, model.new-holland-c227, model.new-holland-c327, model.new-holland-lt175b, model.takeuchi-tl6r, model.volvo-mct85c"
tnt3208650hdc,MERGE,TRUE,TNT3208650HDC,"model.bobcat-t62, model.bobcat-t64, model.bobcat-t66, model.case-420ct, model.case-440ct, model.case-tr270, model.case-tr270b, model.case-tr310, model.case-tr310b, model.jcb-180t, model.jcb-190t-eco, model.jcb-205t, model.jcb-210t, model.jcb-215t, model.jcb-2ts-7t, model.john-deere-317g, model.new-holland-c175, model.new-holland-c227, model.new-holland-c327, model.new-holland-lt175b, model.takeuchi-tl6r, model.volvo-mct85c"
tnt3208650hdmb,MERGE,TRUE,TNT3208650HDMB,"model.bobcat-t62, model.bobcat-t64, model.bobcat-t66, model.case-420ct, model.case-440ct, model.case-tr270, model.case-tr270b, model.case-tr310, model.case-tr310b, model.jcb-180t, model.jcb-190t-eco, model.jcb-205t, model.jcb-210t, model.jcb-215t, model.jcb-2ts-7t, model.john-deere-317g, model.new-holland-c175, model.new-holland-c227, model.new-holland-c327, model.new-holland-lt175b, model.takeuchi-tl6r, model.volvo-mct85c"
tnt3208650hdxt,MERGE,TRUE,TNT3208650HDXT,"model.bobcat-t62, model.bobcat-t64, model.bobcat-t66, model.case-420ct, model.case-440ct, model.case-tr270, model.case-tr270b, model.case-tr310, model.case-tr310b, model.jcb-180t, model.jcb-190t-eco, model.jcb-205t, model.jcb-210t, model.jcb-215t, model.jcb-2ts-7t, model.john-deere-317g, model.new-holland-c175, model.new-holland-c227, model.new-holland-c327, model.new-holland-lt175b, model.takeuchi-tl6r, model.volvo-mct85c"
tnt3208650hdz,MERGE,TRUE,TNT3208650HDZ,"model.bobcat-t62, model.bobcat-t64, model.bobcat-t66, model.case-420ct, model.case-440ct, model.case-tr270, model.case-tr270b, model.case-tr310, model.case-tr310b, model.jcb-180t, model.jcb-190t-eco, model.jcb-205t, model.jcb-210t, model.jcb-215t, model.jcb-2ts-7t, model.john-deere-317g, model.new-holland-c175, model.new-holland-c227, model.new-holland-c327, model.new-holland-lt175b, model.takeuchi-tl6r, model.volvo-mct85c"
tnt3208650hdzb,MERGE,TRUE,TNT3208650HDZB,"model.bobcat-t62, model.bobcat-t64, model.bobcat-t66, model.case-420ct, model.case-440ct, model.case-tr270, model.case-tr270b, model.case-tr310, model.case-tr310b, model.jcb-180t, model.jcb-190t-eco, model.jcb-205t, model.jcb-210t, model.jcb-215t, model.jcb-2ts-7t, model.john-deere-317g, model.new-holland-c175, model.new-holland-c227, model.new-holland-c327, model.new-holland-lt175b, model.takeuchi-tl6r, model.volvo-mct85c"
tnt3208650sdc,MERGE,TRUE,TNT3208650SDC,"model.bobcat-t62, model.bobcat-t64, model.bobcat-t66, model.case-420ct, model.case-440ct, model.case-tr270, model.case-tr270b, model.case-tr310, model.case-tr310b, model.jcb-180t, model.jcb-190t-eco, model.jcb-205t, model.jcb-210t, model.jcb-215t, model.jcb-2ts-7t, model.john-deere-317g, model.new-holland-c175, model.new-holland-c227, model.new-holland-c327, model.new-holland-lt175b, model.takeuchi-tl6r, model.volvo-mct85c"
tnt3208652hdbl,MERGE,TRUE,TNT3208652HDBL,"model.bobcat-864, model.bobcat-864g, model.bobcat-t200, model.bobcat-t630, model.bobcat-t650, model.cat-255, model.jcb-190t, model.john-deere-319d, model.john-deere-319e, model.john-deere-323d, model.john-deere-323e, model.john-deere-325g, model.john-deere-ct322, model.komatsu-820-turbo, model.komatsu-ck20, model.komatsu-ck20-1, model.komatsu-ck25, model.kubota-svl65-2, model.kubota-svl75, model.kubota-svl75-2, model.kubota-svl75-3, model.takeuchi-tl8r2"
tnt3208652hdc,MERGE,TRUE,TNT3208652HDC,"model.bobcat-864, model.bobcat-864g, model.bobcat-t200, model.bobcat-t630, model.bobcat-t650, model.cat-255, model.jcb-190t, model.john-deere-319d, model.john-deere-319e, model.john-deere-323d, model.john-deere-323e, model.john-deere-325g, model.john-deere-ct322, model.komatsu-820-turbo, model.komatsu-ck20, model.komatsu-ck20-1, model.komatsu-ck25, model.kubota-svl65-2, model.kubota-svl75, model.kubota-svl75-2, model.kubota-svl75-3, model.takeuchi-tl8r2"
tnt3208652hdmb,MERGE,TRUE,TNT3208652HDMB,"model.bobcat-864, model.bobcat-864g, model.bobcat-t200, model.bobcat-t630, model.bobcat-t650, model.cat-255, model.jcb-190t, model.john-deere-319d, model.john-deere-319e, model.john-deere-323d, model.john-deere-323e, model.john-deere-325g, model.john-deere-ct322, model.komatsu-820-turbo, model.komatsu-ck20, model.komatsu-ck20-1, model.komatsu-ck25, model.kubota-svl65-2, model.kubota-svl75, model.kubota-svl75-2, model.kubota-svl75-3, model.takeuchi-tl8r2"
tnt3208652hdz,MERGE,TRUE,TNT3208652HDZ,"model.bobcat-864, model.bobcat-864g, model.bobcat-t200, model.bobcat-t630, model.bobcat-t650, model.cat-255, model.jcb-190t, model.john-deere-319d, model.john-deere-319e, model.john-deere-323d, model.john-deere-323e, model.john-deere-325g, model.john-deere-ct322, model.komatsu-820-turbo, model.komatsu-ck20, model.komatsu-ck20-1, model.komatsu-ck25, model.kubota-svl65-2, model.kubota-svl75, model.kubota-svl75-2, model.kubota-svl75-3, model.takeuchi-tl8r2"
tnt3208652hdzb,MERGE,TRUE,TNT3208652HDZB,"model.bobcat-864, model.bobcat-864g, model.bobcat-t200, model.bobcat-t630, model.bobcat-t650, model.cat-255, model.jcb-190t, model.john-deere-319d, model.john-deere-319e, model.john-deere-323d, model.john-deere-323e, model.john-deere-325g, model.john-deere-ct322, model.komatsu-820-turbo, model.komatsu-ck20, model.komatsu-ck20-1, model.komatsu-ck25, model.kubota-svl65-2, model.kubota-svl75, model.kubota-svl75-2, model.kubota-svl75-3, model.takeuchi-tl8r2"
