machine_id,brand_id,model,model_canonical,machine_type,mount_type,primary_track_size_id,horsepower,operating_weight_lbs,std_gpm,hf_gpm,std_psi,lift_type,coupler_type,validation_status,source_systems,machine_status,canonical_model_group,shopify_handle,shopify_url,navigation_source
mdl_bobcat_x322d,br_bobcat,X322D,X322D,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X322D,,,
mdl_bobcat_x322e,br_bobcat,X322E,X322E,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X322E,,,
mdl_bobcat_x322g,br_bobcat,X322G,X322G,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X322G,,,
mdl_bobcat_x323,br_bobcat,X323,X323,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X323,,,
mdl_bobcat_x325,br_bobcat,X325,X325,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X325,,,
mdl_bobcat_x325d,br_bobcat,X325D,X325D,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X325D,,,
mdl_bobcat_x325g,br_bobcat,X325G,X325G,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X325G,,,
mdl_bobcat_x328,br_bobcat,X328,X328,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X328,,,
mdl_bobcat_x328e,br_bobcat,X328E,X328E,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X328E,,,
mdl_bobcat_x329,br_bobcat,X329,X329,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X329,,,
mdl_bobcat_x331,br_bobcat,X331,X331,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X331,,,
mdl_bobcat_x331d,br_bobcat,X331D,X331D,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X331D,,,
mdl_bobcat_x331e,br_bobcat,X331E,X331E,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X331E,,,
mdl_bobcat_x331g,br_bobcat,X331G,X331G,,,,,,,,,,,,supplier_fitment|supplier_products,quarantine,Bobcat X331G,,,
mdl_bobcat_x334,br_bobcat,X334,X334,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X334,,,
mdl_bobcat_x334d,br_bobcat,X334D,X334D,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X334D,,,
mdl_bobcat_x334g,br_bobcat,X334G,X334G,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X334G,,,
mdl_bobcat_x335,br_bobcat,X335,X335,,,,,,,,,,,,supplier_fitment|supplier_products,quarantine,Bobcat X335,,,
mdl_bobcat_x337,br_bobcat,X337,X337,,,,,,,,,,,,supplier_fitment|supplier_products,quarantine,Bobcat X337,,,
mdl_bobcat_x341,br_bobcat,X341,X341,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X341,,,
mdl_bobcat_x418,br_bobcat,X418,X418,,,,,,,,,,,Needs Review,airtable|supplier_fitment,quarantine,Bobcat X418,,,
mdl_bobcat_x422,br_bobcat,X422,X422,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X422,,,
mdl_bobcat_x425,br_bobcat,X425,X425,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X425,,,
mdl_bobcat_x430,br_bobcat,X430,X430,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X430,,,
mdl_bobcat_x435,br_bobcat,X435,X435,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X435,,,
mdl_bobcat_x442,br_bobcat,X442,X442,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X442,,,
mdl_bobcat_x442b,br_bobcat,X442B,X442B,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X442B,,,
mdl_bobcat_x442g,br_bobcat,X442G,X442G,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X442G,,,
mdl_bobcat_x442zts,br_bobcat,X442ZTS,X442ZTS,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X442ZTS,,,
mdl_bobcat_x444,br_bobcat,X444,X444,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X444,,,
mdl_bobcat_zx125,br_bobcat,ZX125,ZX125,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat ZX125,,,
mdl_bobcat_zx75,br_bobcat,ZX75,ZX75,,,,,,,,,,,,supplier_fitment|supplier_products,quarantine,Bobcat ZX75,,,
mdl_boxer_118,br_boxer,118,118,Compact Track Loader,,ts_180x72x36,,,,,,,,,fitment_json,active_v1,Boxer 118,boxer-118,/pages/equipment-model/boxer-118,track_finder_v1
mdl_boxer_118_trencher,br_boxer,118 TRENCHER,118 TRENCHER,,,ts_180x72x36,,,,,,,,,shopify_meta|size_index,reference,Boxer 118 TRENCHER,,,
mdl_boxer_118trencher,br_boxer,118TRENCHER,118TRENCHER,,,ts_180x72x36,,,,,,,,,fitment_json,reference,Boxer 118TRENCHER,,,
mdl_boxer_320,br_boxer,320,320,Compact Track Loader,,ts_180x72x36,,,,,,,,,fitment_json|shopify_meta|size_index|supplier_fitment,active_v1,Boxer 320,boxer-320,/pages/equipment-model/boxer-320,track_finder_v1
mdl_boxer_322d,br_boxer,322D,322D,Compact Track Loader,,ts_180x72x36,,,,,,,,,fitment_json|shopify_meta|size_index|supplier_fitment,active_v1,Boxer 322D,boxer-322d,/pages/equipment-model/boxer-322d,track_finder_v1
mdl_boxer_400,br_boxer,400,400,Mini Excavator,,ts_230x72x39,,,,,,,,Verified,airtable|fitment_json|shopify_meta|size_index|supplier_fitment,active_v1,Boxer 400,boxer-400,/pages/equipment-model/boxer-400,track_finder_v1
mdl_boxer_427,br_boxer,427,427,Mini Excavator,,ts_230x72x39,,,,,,,,Verified,airtable|fitment_json|shopify_meta|size_index|supplier_fitment,active_v1,Boxer 427,boxer-427,/pages/equipment-model/boxer-427,track_finder_v1
mdl_boxer_526dx,br_boxer,526DX,526DX,Mini Excavator,,ts_230x72x39,,,,,,,,Verified,airtable|fitment_json|shopify_meta|size_index|supplier_fitment,active_v1,Boxer 526DX,boxer-526dx,/pages/equipment-model/boxer-526dx,track_finder_v1
mdl_boxer_530dx,br_boxer,530DX,530DX,Mini Excavator,,ts_230x72x39,,,,,,,,Verified,airtable|fitment_json|shopify_meta|size_index|supplier_fitment,active_v1,Boxer 530DX,boxer-530dx,/pages/equipment-model/boxer-530dx,track_finder_v1
mdl_boxer_532dx,br_boxer,532DX,532DX,Mini Excavator,,ts_230x72x39,,,,,,,,Verified,airtable|fitment_json|shopify_meta|size_index|supplier_fitment,active_v1,Boxer 532DX,boxer-532dx,/pages/equipment-model/boxer-532dx,track_finder_v1
mdl_boxer_700hdx,br_boxer,700HDX,700HDX,,,,,,,,,,,Needs Review,airtable|supplier_fitment,quarantine,Boxer 700HDX,,,
mdl_boxer_brokk_160,br_boxer,BROKK 160,BROKK 160,,,,,,,,,,,,shopify_meta,quarantine,Boxer BROKK 160,,,
mdl_boxer_brute_trx,br_boxer,BRUTE TRX,BRUTE TRX,Mini Excavator,,ts_230x72x39,,,,,,,,,shopify_meta|size_index,active_v1,Boxer BRUTE TRX,boxer-brute-trx,/pages/equipment-model/boxer-brute-trx,track_finder_v1
mdl_boxer_brutetrx,br_boxer,BRUTETRX,BRUTETRX,,,ts_230x72x39,,,,,,,,Needs Review,airtable|fitment_json|supplier_fitment,review,Boxer BRUTETRX,,,
mdl_boxer_tl224,br_boxer,TL224,TL224,,,,,,,,,,,,supplier_fitment,quarantine,Boxer TL224,,,
mdl_boxer_vts_vts52,br_boxer,VTS VTS52,VTS VTS52,,,,,,,,,,,,shopify_meta,quarantine,Boxer VTS VTS52,,,
mdl_boxer_vts_vts60,br_boxer,VTS VTS60,VTS VTS60,,,,,,,,,,,,shopify_meta,quarantine,Boxer VTS VTS60,,,
mdl_case_15,br_case,15,15,Mini Excavator,Excavator Pin-On,ts_230x96x31,,,,,,,,Needs Review,airtable|shopify_meta|supplier_fitment,active_v1,Case 15,case-15,/pages/equipment-model/case-15,track_finder_v1
mdl_case_15maxi,br_case,15MAXI,15MAXI,Mini Excavator,Excavator Pin-On,ts_230x96x31,,,,,,,,Needs Review,airtable|shopify_meta|supplier_fitment,active_v1,Case 15MAXI,case-15maxi,/pages/equipment-model/case-15maxi,track_finder_v1
mdl_case_16,br_case,16,16,Mini Excavator,Excavator Pin-On,ts_230x96x31,164,39551,34.9,,,,,Needs Review,airtable|shopify_meta|supplier_fitment,active_v1,Case 16,case-16,/pages/equipment-model/case-16,track_finder_v1
mdl_case_16maxi,br_case,16MAXI,16MAXI,Mini Excavator,Excavator Pin-On,ts_230x96x31,,,,,,,,Needs Review,airtable|shopify_meta|supplier_fitment,active_v1,Case 16MAXI,case-16maxi,/pages/equipment-model/case-16maxi,track_finder_v1
