machine_id,shopify_handle,brand,model,status,primary_track_size,hero_url,track_count,uc_count,notes
mdl_gehl_vt320,gehl-vt320,Gehl,VT320,ready,450x86Bx58,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/gehl-vt320-hero.webp,13,4,
mdl_hanix_h36b,hanix-h36b,Hanix,H36B,partial,300x52.5Nx84,,1,0,missing_hero
mdl_hanix_h36c,hanix-h36c,Hanix,H36C,partial,300x52.5Nx84,,1,0,missing_hero
mdl_hanix_h36cr,hanix-h36cr,Hanix,H36CR,partial,300x52.5Nx84,,1,0,missing_hero
mdl_hanix_h36r,hanix-h36r,Hanix,H36R,partial,300x52.5Nx84,,1,0,missing_hero
mdl_hitachi_30u,hitachi-30u,Hitachi,30U,partial,300x52.5x86,,2,1,missing_hero
mdl_hitachi_35u,hitachi-35u,Hitachi,35U,partial,300x52.5x86,,2,1,missing_hero
mdl_hitachi_ex_35_u,hitachi-ex35u,Hitachi,EX-35-U,partial,300x52.5x86,,1,0,missing_hero
mdl_hitachi_ex12,hitachi-ex12,Hitachi,EX12,partial,230x96x31,,2,1,missing_hero
mdl_hitachi_ex12_1,hitachi-ex12-1,Hitachi,EX12-1,partial,230x96x31,,2,0,missing_hero
mdl_hitachi_ex12_2,hitachi-ex12-2,Hitachi,EX12-2,partial,230x96x31,,2,0,missing_hero
mdl_hitachi_ex15,hitachi-ex15,Hitachi,EX15,partial,230x96x31,,2,0,missing_hero
mdl_hitachi_ex15_1,hitachi-ex15-1,Hitachi,EX15-1,partial,230x96x31,,2,0,missing_hero
mdl_hitachi_ex15_2,hitachi-ex15-2,Hitachi,EX15-2,partial,230x96x31,,2,0,missing_hero
mdl_hitachi_ex15u,hitachi-ex15u,Hitachi,EX15U,partial,230x96x31,,2,0,missing_hero
mdl_hitachi_ex16,hitachi-ex16,Hitachi,EX16,partial,230x96x31,,2,0,missing_hero
mdl_hitachi_ex17,hitachi-ex17,Hitachi,EX17,partial,230x48x70,,0,1,missing_hero
mdl_hitachi_ex35,hitachi-ex35,Hitachi,EX35,partial,300x52.5Nx84,,1,1,missing_hero
mdl_hitachi_ex351,hitachi-ex35-1,Hitachi,EX351,review,300x52.5Nx84,,0,0,missing_hero; no_products
mdl_hitachi_ex36u,hitachi-ex36u,Hitachi,EX36U,partial,300x52.5x86,,2,1,missing_hero
mdl_hitachi_ex40ur,hitachi-ex40ur,Hitachi,EX40UR,partial,300x52.5Nx84,,1,1,missing_hero
mdl_hitachi_ex40ur_3,hitachi-ex40ur-3,Hitachi,EX40UR-3,partial,300x52.5x86,,3,2,missing_hero
mdl_hitachi_ex50u,hitachi-ex50u,Hitachi,EX50U,partial,400x72.5Kx74,,4,4,missing_hero
mdl_hitachi_ex58mu,hitachi-ex58mu,Hitachi,EX58MU,partial,400x72.5Kx74,,3,3,missing_hero
mdl_hitachi_sh15_2,hitachi-sh15-2,Hitachi,SH15-2,partial,230x96x31,,2,0,missing_hero
mdl_hitachi_ue35,hitachi-ue35,Hitachi,UE35,partial,300x52.5x86,,3,1,missing_hero
mdl_hitachi_zx14_3,hitachi-zx14-3,Hitachi,ZX14-3,partial,230x96x31,,2,0,missing_hero
