Handle,Command,Field: primary_track_size,Field: hero_image,Field: track_products [list.product_reference],Field: uc_products [list.product_reference]
jcb-225t-eco,MERGE,450x86Bx56,,"450x86x56-rubber-track-multi-bar, bs4008656bxd, bs4508656bxd, bs4508656mbxd, bs4508656vxd, bs4508656xdzb, tnt4008656hdbl, tnt4508656hdbd, tnt4508656hdbl, tnt4508656hdc, tnt4508656hdxt, tnt4508656hdz, tnt4508656hdzb, tnt4508656sdbl, tnt4508656sdc","heavy-duty-idler-fiid2076, heavy-duty-track-roller-trid2802"
jcb-250-t-tracks,MERGE,450x86Bx56,,"450x86x56-rubber-track-multi-bar, bs4508656bxd, bs4508656mbxd, bs4508656vxd, bs4508656xdzb, tnt4508656hdbd, tnt4508656hdbl, tnt4508656hdc, tnt4508656hdxt, tnt4508656hdz, tnt4508656hdzb, tnt4508656sdbl, tnt4508656sdc",
jcb-260t,MERGE,450x86Bx56,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/jcb-260t-hero.webp,"450x86x56-rubber-track-multi-bar, bs4008656bxd, bs4508656bxd, bs4508656mbxd, bs4508656vxd, bs4508656xdzb, tnt4008656hdbl, tnt4508656hdbd, tnt4508656hdbl, tnt4508656hdc, tnt4508656hdxt, tnt4508656hdz, tnt4508656hdzb, tnt4508656sdbl, tnt4508656sdc","heavy-duty-idler-fiid2076, heavy-duty-track-roller-trid2802"
jcb-260t-eco,MERGE,450x86Bx56,,"450x86x56-rubber-track-multi-bar, bs4008656bxd, bs4508656bxd, bs4508656mbxd, bs4508656vxd, bs4508656xdzb, tnt4008656hdbl, tnt4508656hdbd, tnt4508656hdbl, tnt4508656hdc, tnt4508656hdxt, tnt4508656hdz, tnt4508656hdzb, tnt4508656sdbl, tnt4508656sdc","heavy-duty-idler-fiid2076, heavy-duty-track-roller-trid2802"
jcb-270t,MERGE,450x86Bx56,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/jcb-skid-steer-hero.webp?v=1773971451,,
jcb-2-ts-7-t-tracks,MERGE,320x86Bx50,,"320x86x50-rubber-track-c-block, bs3208650bxd, bs3208650cxd, bs3208650mbxd, tnt3208650hdbd, tnt3208650hdbl, tnt3208650hdmb, tnt3208650hdxt, tnt3208650hdz, tnt3208650hdzb, tnt3208650sdc",
jcb-300t,MERGE,450x86Bx56,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/jcb-300t-hero.webp,"450x86x56-rubber-track-multi-bar, bs4008656bxd, bs4508656bxd, bs4508656mbxd, bs4508656vxd, bs4508656xdzb, tnt4008656hdbl, tnt4508656hdbd, tnt4508656hdbl, tnt4508656hdc, tnt4508656hdxt, tnt4508656hdz, tnt4508656hdzb, tnt4508656sdbl, tnt4508656sdc","heavy-duty-idler-fiid2076, heavy-duty-track-roller-trid2802"
jcb-320t,MERGE,450x86Bx56,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/jcb-skid-steer-hero.webp?v=1773971451,,
jcb-320t-eco,MERGE,450x86Bx56,,"450x86x56-rubber-track-multi-bar, bs4008656bxd, bs4508656bxd, bs4508656mbxd, bs4508656vxd, bs4508656xdzb, tnt4008656hdbl, tnt4508656hdbd, tnt4508656hdbl, tnt4508656hdc, tnt4508656hdxt, tnt4508656hdz, tnt4508656hdzb, tnt4508656sdbl, tnt4508656sdc","heavy-duty-idler-fiid2076, heavy-duty-track-roller-trid2802"
jcb-35z-1,MERGE,450x81.5x76,,"450x81x76-rubber-track-directional, st154-45-73-450-40l",
jcb-3ts-8t,MERGE,450x86Bx56,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/jcb-3ts-8t-hero.webp,"450x86x56-rubber-track-multi-bar, bs4008656bxd, bs4508656bxd, bs4508656mbxd, bs4508656vxd, bs4508656xdzb, tnt4008656hdbl, tnt4508656hdbd, tnt4508656hdbl, tnt4508656hdc, tnt4508656hdxt, tnt4508656hdz, tnt4508656hdzb, tnt4508656sdbl, tnt4508656sdc","heavy-duty-idler-fiid2076, heavy-duty-track-roller-trid2802"
jcb-45z-1,MERGE,400x72.5Kx74,,"400x72-5x74-rubber-track-directional, bs400725w74xd, ht135-53-80-400-39l, st135-53-80-400-39l",
jcb-48z-1,MERGE,400x72.5Kx74,,"400x72-5x74-rubber-track-directional, bs400725w74xd","bo135-400, ct135-51-72-400"
