shopify_handle,machine_id,brand,model,publish_status,hero,primary_track_size,track_products,uc_products,approved_track_sizes,blockers
caterpillar-2493,mdl_cat_2493,CAT,2493,blocked,yes,400x86Bx49,0,0,1,no_products
caterpillar-249d,mdl_cat_249d,CAT,249D,ready,yes,320x86Bx49,17,3,2,
caterpillar-249d3,mdl_cat_249d3,CAT,249D3,ready,yes,320x86Bx49,34,3,2,
caterpillar-255,mdl_cat_255,CAT,255,ready,yes,320x86x52,58,3,3,
caterpillar-257,mdl_cat_257,CAT,257,partial,no,,1,2,1,missing_primary_track_size_v2
caterpillar-257b,mdl_cat_257b,CAT,257B,ready,no,381x100.5x42,1,2,1,
caterpillar-257b2,mdl_cat_257b2,CAT,257B2,ready,no,381x100.5x42,1,1,1,
caterpillar-257b3,mdl_cat_257b3,CAT,257B3,ready,no,381x100.5x42,1,1,1,
caterpillar-257d,mdl_cat_257d,CAT,257D,partial,no,,1,1,1,missing_primary_track_size_v2
caterpillar-259b,mdl_cat_259b,CAT,259B,blocked,yes,320x86Bx53,0,0,2,no_products
caterpillar-259b3,mdl_cat_259b3,CAT,259B3,ready,yes,320x86Bx53,17,5,2,
caterpillar-259d,mdl_cat_259d,CAT,259D,ready,yes,320x86Bx53,17,5,2,
caterpillar-259d3,mdl_cat_259d3,CAT,259D3,ready,yes,320x86Bx53,17,5,2,
caterpillar-265,mdl_cat_265,CAT,265,blocked,yes,450x86Bx55,0,0,1,no_products
caterpillar-267b,mdl_cat_267b,CAT,267B,partial,yes,,1,2,1,missing_primary_track_size_v2
caterpillar-277,mdl_cat_277,CAT,277,ready,no,320x86x52,5,2,1,
caterpillar-277b,mdl_cat_277b,CAT,277B,ready,yes,457x101.6x56,2,2,1,
caterpillar-277c,mdl_cat_277c,CAT,277C,ready,yes,457x101.6x51,2,4,1,
caterpillar-279c,mdl_cat_279c,CAT,279C,ready,yes,450x86Bx60,15,4,1,
caterpillar-279c2,mdl_cat_279c2,CAT,279C2,ready,yes,450x86Bx56,13,4,1,
caterpillar-279d,mdl_cat_279d,CAT,279D,ready,yes,450x86Bx56,13,5,1,
caterpillar-279d3,mdl_cat_279d3,CAT,279D3,blocked,yes,450x86Bx56,0,0,1,no_products
caterpillar-287,mdl_cat_287,CAT,287,partial,yes,,4,2,2,missing_primary_track_size_v2
caterpillar-287b,mdl_cat_287b,CAT,287B,partial,no,,1,2,1,missing_primary_track_size_v2
caterpillar-287c,mdl_cat_287c,CAT,287C,ready,yes,457x101.6x51,2,4,1,
caterpillar-287c2,mdl_cat_287c2,CAT,287C2,partial,yes,,2,3,1,missing_primary_track_size_v2
caterpillar-287d,mdl_cat_287d,CAT,287D,partial,yes,,2,3,1,missing_primary_track_size_v2
caterpillar-289c,mdl_cat_289c,CAT,289C,ready,yes,450x86Bx60,28,5,1,
caterpillar-289c2,mdl_cat_289c2,CAT,289C2,ready,yes,450x86Bx56,13,4,1,
caterpillar-289d,mdl_cat_289d,CAT,289D,ready,yes,450x86Bx56,17,5,1,
caterpillar-289d2,mdl_cat_289d2,CAT,289D2,blocked,yes,450x86Bx56,0,0,1,no_products
caterpillar-289d3,mdl_cat_289d3,CAT,289D3,ready,yes,450x86Bx56,26,5,1,
caterpillar-297c,mdl_cat_297c,CAT,297C,partial,yes,,4,4,1,missing_primary_track_size_v2
caterpillar-297d2,mdl_cat_297d2,CAT,297D2,partial,yes,,2,2,1,missing_primary_track_size_v2
caterpillar-297d2-xhp,mdl_cat_297d2_xhp,CAT,297D2-XHP,partial,yes,,2,2,1,missing_primary_track_size_v2
caterpillar-299c,mdl_cat_299c,CAT,299C,ready,yes,450x86Bx60,14,5,1,
caterpillar-299d,mdl_cat_299d,CAT,299D,ready,yes,450x86Bx60,15,5,1,
caterpillar-299d-xhp,mdl_cat_299d_xhp,CAT,299D XHP,ready,yes,450x86Bx60,15,5,1,
caterpillar-299d2,mdl_cat_299d2,CAT,299D2,ready,yes,450x86Bx60,15,5,1,
caterpillar-299d3,mdl_cat_299d3,CAT,299D3,ready,yes,450x86Bx60,16,5,1,
caterpillar-300-9d,mdl_cat_300_9d,CAT,300.9D,ready,no,180x72x37,1,0,1,
caterpillar-301-5,mdl_cat_301_5,CAT,301.5,ready,yes,230x96x31,5,2,1,
caterpillar-301-7d,mdl_cat_301_7d,CAT,301.7D,ready,yes,230x48x72,1,0,1,
caterpillar-301-6,mdl_cat_3016,CAT,3016,blocked,yes,230x48x70,0,0,1,no_products
caterpillar-301-6c,mdl_cat_3016c,CAT,3016C,ready,yes,230x48x70,2,0,1,
caterpillar-301-8c,mdl_cat_3018c,CAT,3018C,ready,yes,230x48x70,2,0,1,
caterpillar-302-5,mdl_cat_302_5,CAT,302.5,ready,yes,300x52.5Nx78,4,4,2,
caterpillar-302-5c,mdl_cat_302_5c,CAT,302.5C,ready,yes,300x52.5Nx78,2,4,2,
caterpillar-303cr,mdl_cat_303_cr,CAT,303 CR,blocked,yes,300x52.5Nx84,0,0,2,no_products
caterpillar-303-5,mdl_cat_303_5,CAT,303.5,ready,yes,300x52.5Nx84,2,5,2,
caterpillar-303-5cr,mdl_cat_303_5_cr,CAT,303.5 CR,blocked,yes,300x52.5Wx90,0,0,1,no_products
caterpillar-303-5c-cr,mdl_cat_303_5c_cr,CAT,303.5C CR,blocked,yes,300x52.5Wx90,0,0,1,no_products
caterpillar-303-5d,mdl_cat_303_5d,CAT,303.5D,ready,yes,300x52.5Wx90,3,0,1,
caterpillar-303-5d-cr,mdl_cat_303_5d_cr,CAT,303.5D CR,ready,yes,300x52.5Wx90,3,0,1,
caterpillar-303-5e-cr,mdl_cat_303_5e_cr,CAT,303.5E CR,ready,yes,300x52.5Wx90,3,0,1,
caterpillar-303ccr,mdl_cat_303c_cr,CAT,303C CR,ready,yes,300x52.5Wx90,3,0,1,
caterpillar-303e,mdl_cat_303e,CAT,303E,blocked,yes,300x52.5Nx84,0,0,2,no_products
caterpillar-303ecr,mdl_cat_303ecr,CAT,303ECR,ready,yes,300x52.5Nx84,2,2,2,
caterpillar-304,mdl_cat_304,CAT,304,ready,yes,300x52.5Wx90,4,4,1,
caterpillar-304-5,mdl_cat_304_5,CAT,304.5,ready,yes,400x72.5Kx72,4,6,3,
caterpillar-304-5e2,mdl_cat_304_5e2,CAT,304.5E2,ready,yes,300x52.5Wx90,3,0,1,
caterpillar-304c,mdl_cat_304c,CAT,304C,ready,yes,400x72.5Kx72,4,2,3,
caterpillar-304ccr,mdl_cat_304c_cr,CAT,304C CR,ready,yes,400x72.5Wx76,2,0,1,
