entity_type,entity_id,handle_or_size,media_role,has_media,url_preview,status
machine,mdl_case_cx14,case-cx14,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x48x70-directional-01.webp,pass
machine,mdl_case_cx14_zts,case-cx14-zts,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x48x70-directional-01.webp,pass
machine,mdl_case_cx15,case-cx15,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x96x31-mx-01.webp,pass
machine,mdl_case_cx15stc,case-cx15stc,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x48x70-directional-01.webp,pass
machine,mdl_case_cx15str,case-cx15str,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x48x70-directional-01.webp,pass
machine,mdl_case_cx16,case-cx16,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x48x70-directional-01.webp,pass
machine,mdl_case_cx16_2001,case-cx16-2001,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x48x70-directional-01.webp,pass
machine,mdl_case_cx16b,case-cx16b,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x48x70-directional-01.webp,pass
machine,mdl_case_cx17b,case-cx17b,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x48x70-directional-01.webp,pass
machine,mdl_case_cx17c,case-cx17c,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/case-cx17c-hero.webp,pass
machine,mdl_case_cx18b,case-cx18b,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x48x70-directional-01.webp,pass
machine,mdl_case_cx20b,case-cx20b,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx76-directional-01.webp,pass
machine,mdl_case_cx22b,case-cx22b,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx76-directional-01.webp,pass
machine,mdl_case_cx25,case-cx25,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx76-directional-01.webp,pass
