machine_id,shopify_handle,page_path,metaobject_path,primary_track_size,machine_status,status,issues
mdl_cat_305_5e2_cr,caterpillar-305-5e2-cr,/pages/fitment/caterpillar-305-5e2-cr,/metaobjects/model/caterpillar-305-5e2-cr,400x72.5Wx76,active_v1,pass,
mdl_cat_305c,caterpillar-305c,/pages/fitment/caterpillar-305c,/metaobjects/model/caterpillar-305c,400x72.5Kx72,active_v1,pass,
mdl_cat_305c_cr,caterpillar-305c-cr,/pages/fitment/caterpillar-305c-cr,/metaobjects/model/caterpillar-305c-cr,400x72.5Wx76,active_v1,pass,
mdl_cat_305d,caterpillar-305d,/pages/fitment/caterpillar-305d,/metaobjects/model/caterpillar-305d,400x72.5Wx76,active_v1,pass,
mdl_cat_305dcr,caterpillar-305dcr,/pages/fitment/caterpillar-305dcr,/metaobjects/model/caterpillar-305dcr,400x72.5Wx76,active_v1,pass,
mdl_cat_305e,caterpillar-305e,/pages/fitment/caterpillar-305e,/metaobjects/model/caterpillar-305e,400x72.5Wx76,active_v1,pass,
mdl_cat_305e_cr,caterpillar-305e-cr,/pages/fitment/caterpillar-305e-cr,/metaobjects/model/caterpillar-305e-cr,400x72.5Wx76,active_v1,pass,
mdl_cat_305e2,caterpillar-305e2,/pages/fitment/caterpillar-305e2,/metaobjects/model/caterpillar-305e2,400x72.5Wx76,active_v1,pass,
mdl_cat_305e2_cr,caterpillar-305e2-cr,/pages/fitment/caterpillar-305e2-cr,/metaobjects/model/caterpillar-305e2-cr,400x72.5Wx76,active_v1,pass,
mdl_cat_306,caterpillar-306,/pages/fitment/caterpillar-306,/metaobjects/model/caterpillar-306,400x72.5Wx76,active_v1,pass,
mdl_cat_306_cr,caterpillar-306-cr,/pages/fitment/caterpillar-306-cr,/metaobjects/model/caterpillar-306-cr,400x72.5Wx76,active_v1,pass,
mdl_cat_308_cr,caterpillar-308cr,/pages/fitment/caterpillar-308cr,/metaobjects/model/caterpillar-308cr,450x81Nx78,active_v1,pass,
mdl_cat_308b,caterpillar-308b,/pages/fitment/caterpillar-308b,/metaobjects/model/caterpillar-308b,450x81Nx78,active_v1,pass,
mdl_cat_308c_cr,caterpillar-308ccr,/pages/fitment/caterpillar-308ccr,/metaobjects/model/caterpillar-308ccr,450x81Nx78,active_v1,pass,
mdl_cat_308c_sr,caterpillar-308c-sr,/pages/fitment/caterpillar-308c-sr,/metaobjects/model/caterpillar-308c-sr,450x81Nx78,active_v1,pass,
