handle,machine_id,brand,model,primary_track_size,publish_status,hero,track_count,uc_count,approved_sizes,shopify_exists,status,issues
bobcat-t62,mdl_bobcat_t62,Bobcat,T62,400x86Bx50,ready,yes,38,2,1,unknown,pass,
bobcat-t630,mdl_bobcat_t630,Bobcat,T630,320x86x52,ready,yes,42,11,3,unknown,pass,
bobcat-t64,mdl_bobcat_t64,Bobcat,T64,400x86Bx50,ready,yes,19,2,1,unknown,pass,
bobcat-t650,mdl_bobcat_t650,Bobcat,T650,320x86x52,ready,yes,37,12,3,unknown,pass,
bobcat-t66,mdl_bobcat_t66,Bobcat,T66,400x86Bx50,ready,yes,19,2,1,unknown,pass,
bobcat-t730,mdl_bobcat_t730,Bobcat,T730,450x86Bx55,ready,yes,12,1,1,unknown,pass,
bobcat-t740,mdl_bobcat_t740,Bobcat,T740,450x86Bx55,ready,yes,16,7,1,unknown,pass,
bobcat-t750,mdl_bobcat_t750,Bobcat,T750,450x86Bx55,ready,yes,16,11,1,unknown,pass,
bobcat-t76,mdl_bobcat_t76,Bobcat,T76,320x86Bx53,ready,yes,48,2,3,unknown,pass,
bobcat-t770,mdl_bobcat_t770,Bobcat,T770,450x86Bx55,ready,yes,16,13,1,unknown,pass,
bobcat-t830,mdl_bobcat_t830,Bobcat,T830,450x86Bx58,ready,yes,15,0,1,unknown,pass,
bobcat-t86,mdl_bobcat_t86,Bobcat,T86,450x86Bx58,ready,yes,13,1,1,unknown,pass,
bobcat-t864,mdl_bobcat_t864,Bobcat,T864,320x86x52,ready,no,4,0,2,unknown,review,missing_hero
bobcat-t870,mdl_bobcat_t870,Bobcat,T870,450x86Bx58,ready,yes,54,11,2,unknown,pass,
boxer-118,mdl_boxer_118,Boxer,118,180x72x36,ready,no,1,0,1,unknown,review,missing_hero
boxer-320,mdl_boxer_320,Boxer,320,180x72x36,ready,no,1,0,1,unknown,review,missing_hero
boxer-322d,mdl_boxer_322d,Boxer,322D,180x72x36,ready,no,1,0,1,unknown,review,missing_hero
boxer-400,mdl_boxer_400,Boxer,400,230x72x39,ready,no,1,0,1,unknown,review,missing_hero
boxer-427,mdl_boxer_427,Boxer,427,230x72x39,ready,no,1,0,1,unknown,review,missing_hero
boxer-526dx,mdl_boxer_526dx,Boxer,526DX,230x72x39,ready,no,1,0,1,unknown,review,missing_hero
boxer-530dx,mdl_boxer_530dx,Boxer,530DX,230x72x39,ready,no,4,0,1,unknown,review,missing_hero
boxer-532dx,mdl_boxer_532dx,Boxer,532DX,230x72x39,ready,no,1,0,1,unknown,review,missing_hero
boxer-brute-trx,mdl_boxer_brute_trx,Boxer,BRUTE TRX,230x72x39,ready,no,1,0,1,unknown,review,missing_hero
case-15,mdl_case_15,Case,15,230x96x31,ready,no,2,0,1,unknown,review,missing_hero
