machine_id,shopify_handle,track_size_options,v2_track_products,tnt_products,uc_products,sprockets,idlers,rear_idlers,rollers,wide_before_narrow,status,issues
mdl_cat_305_5d_cr,caterpillar-305-5d-cr,1,2,1,2,0,0,0,0,n/a,pass,
mdl_cat_305_5e,caterpillar-305-5e,1,2,1,6,0,0,0,2,n/a,pass,
mdl_cat_305_5e_cr,caterpillar-305-5e-cr,1,2,1,2,0,0,0,0,n/a,pass,
mdl_cat_305_5e2,caterpillar-305-5e2,3,5,3,8,0,0,0,1,review,pass,
mdl_cat_305_5e2_cr,caterpillar-305-5e2-cr,1,0,0,0,0,0,0,0,n/a,fail,no_v2_track_products;no_uc_products
mdl_cat_305c,caterpillar-305c,3,0,0,0,0,0,0,0,review,fail,no_v2_track_products;no_uc_products
mdl_cat_305c_cr,caterpillar-305c-cr,1,2,1,2,0,0,0,0,n/a,pass,
mdl_cat_305d,caterpillar-305d,1,2,1,2,0,0,0,0,n/a,pass,
mdl_cat_305dcr,caterpillar-305dcr,1,2,1,7,1,0,0,2,n/a,pass,
mdl_cat_305e,caterpillar-305e,1,0,0,0,0,0,0,0,n/a,fail,no_v2_track_products;no_uc_products
mdl_cat_305e_cr,caterpillar-305e-cr,1,2,1,2,0,0,0,0,n/a,pass,
mdl_cat_305e2,caterpillar-305e2,1,2,1,2,0,0,0,0,n/a,pass,
mdl_cat_305e2_cr,caterpillar-305e2-cr,1,0,0,0,0,0,0,0,n/a,fail,no_v2_track_products;no_uc_products
mdl_cat_306,caterpillar-306,1,0,0,0,0,0,0,0,n/a,fail,no_v2_track_products;no_uc_products
mdl_cat_306_cr,caterpillar-306-cr,1,0,0,0,0,0,0,0,n/a,fail,no_v2_track_products;no_uc_products
mdl_cat_308_cr,caterpillar-308cr,2,1,1,1,0,0,0,0,review,pass,
mdl_cat_308b,caterpillar-308b,2,0,0,0,0,0,0,0,review,fail,no_v2_track_products;no_uc_products
mdl_cat_308c_cr,caterpillar-308ccr,2,2,1,2,0,0,0,0,review,pass,
mdl_cat_308c_sr,caterpillar-308c-sr,2,2,1,2,0,0,0,0,review,pass,
mdl_cat_308dcr,caterpillar-308d-cr,2,2,1,2,0,0,0,0,review,pass,
mdl_cat_308e,caterpillar-308e,2,0,0,0,0,0,0,0,review,fail,no_v2_track_products;no_uc_products
mdl_cat_308e_cr,caterpillar-308e-cr,2,2,1,2,0,0,0,0,review,pass,
mdl_cat_308e2_cr,caterpillar-308e2-cr,2,1,1,1,0,0,0,0,review,pass,
mdl_cat_mm15t,caterpillar-mm15t,1,2,1,2,0,0,0,0,n/a,pass,
mdl_cormidi_c85,cormidi-c85,1,1,1,1,0,0,0,0,n/a,pass,
mdl_daewoo_ah30,daewoo-ah-30,1,3,1,4,0,0,0,0,n/a,pass,
mdl_daewoo_sl035,daewoo-sl-035,2,1,1,1,0,0,0,0,review,pass,
mdl_daewoo_solar_018vt,daewoo-solar-018vt,1,2,1,2,0,0,0,0,n/a,pass,
mdl_daewoo_solar007,daewoo-solar-007,1,1,1,1,0,0,0,0,n/a,pass,
mdl_daewoo_solar010,daewoo-solar-010,1,1,1,1,0,0,0,0,n/a,pass,
mdl_daewoo_solar030,daewoo-solar-030,2,1,1,1,0,0,0,0,review,pass,
mdl_daewoo_solar035,daewoo-solar-035,2,1,1,1,0,0,0,0,review,pass,
mdl_daewoo_solar10,daewoo-solar-10,1,1,1,1,0,0,0,0,n/a,pass,
mdl_daewoo_solar25,daewoo-solar-25,1,1,1,1,0,0,0,0,n/a,pass,
mdl_daewoo_solar35,daewoo-solar-35,1,3,1,4,0,0,0,0,n/a,pass,
mdl_daewoo_solar55,daewoo-solar-55,3,4,1,4,0,0,0,0,review,pass,
mdl_daewoo_solar553,daewoo-solar-55-3,1,2,1,2,0,0,0,0,n/a,pass,
mdl_daewoo_solar555,daewoo-solar-55-5,3,4,1,4,0,0,0,0,review,pass,
mdl_daewoo_solar55v,daewoo-solar-55-v,3,4,1,4,0,0,0,0,review,pass,
mdl_ditch_witch_ht_25,ditch-witch-ht-25-trencher,1,1,1,1,0,0,0,0,n/a,pass,
mdl_ditch_witch_ht_25k,ditch-witch-ht-25k-saw-machine,1,1,1,1,0,0,0,0,n/a,pass,
mdl_ditch_witch_jt_1200,ditch-witch-jt-1200-drilling-machine,1,1,1,1,0,0,0,0,n/a,pass,
mdl_ditch_witch_jt_1220,ditch-witch-jt-1220-mach-1-drilling-machine,0,0,0,0,0,0,0,0,n/a,fail,no_track_size_options;no_v2_track_products;no_uc_products
mdl_ditch_witch_jt_1720,ditch-witch-jt-1720-drilling-machine,0,0,0,0,0,0,0,0,n/a,fail,no_track_size_options;no_v2_track_products;no_uc_products
mdl_ditch_witch_jt_20,ditch-witch-jt-20-drilling-machine,0,0,0,0,0,0,0,0,n/a,fail,no_track_size_options;no_v2_track_products;no_uc_products
mdl_ditch_witch_jt_2020,ditch-witch-jt-2020-mach-1,0,0,0,0,0,0,0,0,n/a,fail,no_track_size_options;no_v2_track_products;no_uc_products
mdl_ditch_witch_jt_2320,ditch-witch-jt-2320-drilling-machine,2,1,1,1,0,0,0,0,review,pass,
mdl_ditch_witch_jt_2321,ditch-witch-jt-2321-drilling-machine,2,0,0,0,0,0,0,0,review,fail,no_v2_track_products;no_uc_products
mdl_ditch_witch_jt_2511,ditch-witch-jt-2511-drilling-machine,1,1,1,1,0,0,0,0,n/a,pass,
mdl_ditch_witch_jt_30,ditch-witch-jt-30-drilling-machine,0,0,0,0,0,0,0,0,n/a,fail,no_track_size_options;no_v2_track_products;no_uc_products
mdl_ditch_witch_jt_40,ditch-witch-jt-40-drilling-machine,3,4,1,4,0,0,0,0,review,pass,
mdl_ditch_witch_jt_5,ditch-witch-jt-5,1,3,2,3,0,0,0,0,n/a,pass,
mdl_ditch_witch_jt_520,ditch-witch-jt-520,1,3,2,3,0,0,0,0,n/a,pass,
mdl_ditch_witch_jt2520,ditch-witch-jt-2520-drilling-machine,0,2,2,2,0,0,0,0,n/a,review,no_track_size_options
mdl_ditch_witch_jt2720,ditch-witch-jt-2720-mach-1-drilling-machine,0,2,2,2,0,0,0,0,n/a,review,no_track_size_options
